id,question,answer_bool,answer_text,decomposition
69,Did J. P. Morgan have healthy lungs?,False,no,What are the causes of unhealthy lungs? | Did J. P. Morgan engage in any part of #1?
70,Would Firefighters be included in a September 11th memorial?,True,yes,Who gets remembered on September 11th? | Were firefighters among #1?
71,Does Andrew Johnson's presidential number exceed Elagabalus's Emperor number?,False,no,What number president was Andrew Johnson? | What number emperor  was Elagabalus? | Is #1 greater than #2?
72,Are any animals in Chinese calendar Chordata?,True,yes,What animals are on the Chinese calendar? | Which animals in #1 have a notochord and dorsal neural tube? | Which animals in #2 have pharyngeal slits and an endostyle at some stage of development? | Which animals in #3 have a post-anal tail? | Is there at least one animal listed in #4?
73,Would a hypothetical Yeti be towered over by Andre the Giant?,True,yes,How tall was Andre the Giant? | How tall are Yeti thought to be? | Is #2 greater than #1?
74,Are you likely to find a crucifix in Karachi?,False,no,"What religion does a crucifix symbolize? | What is the main religion observed in Karachi, Pakistan? | Is #1 the same as #2?"
75,Was The Little Prince's titular character allergic to flowers?,False,no,Who is the titular character of The Little Prince? | Does #1 avoid interacting with flowers?
76,Was a person sold a Creative Commons License for Boticelli's The Birth of Venus ripped off?,True,yes,"What is the purpose of a Creative Commons license? | Do works in the public domain need #1? | Works created before what year are presently in the public domain? | Was Boticelli's The Birth of Venus created before #3? | Considering #2 and #4, is #1 unnecessary for Boticelli's The Birth of Venus?"
77,Did Millard Fillmore help to establish the University of Pittsburgh?,False,no,When was the University of Pittsburgh established? | When was Millard Fillmore born? | Is #2 before #1?
78,Does Northern fur seal make good pet for six year old?,False,no,What environment do Northern fur seals thrive in? | Do six-years olds have safe access to #1?
79,Would a pear sink in water?,False,no,What is the density of a pear? | What is the density of water? | Is #1 greater than #2?
80,WIll Noah's Ark hypothetically sail through flooded Lincoln Tunnel?,False,no,What is the width of the Lincoln tunnel? | What is the width of the Noah's ark? | Is #1 greater than #2?
81,Can you write a whole Haiku in a single tweet?,True,yes,How many characters can be expected to be in an average haiku? | What is the current character limit of a single tweet? | Is #1 reasonably less than #2?
82,Would you take a photo of a Saltwater crocodile in Memphis?,False,no,Where can saltwater crocodiles be found? | Is Memphis located in any of #1?
83,Could Scooby Doo fit in a kangaroo pouch?,False,no,What type of creature was Scooby-Doo? | How large are #1? | What resides in a kangaroo pouch? | How large are #3? | Is #2 approximately equal to #4?
84,Do manta rays live in water above the safe temperature for cold food storage?,True,yes,What temperature should cold food be stored at? | What kind of water do manta rays live in? | What is the normal temperature of #2? | Is #3 higher than #1?
85,Is the kayak a traditional boat in New Zealand?,False,no,What cultures invented the kayak? | What cultures are native to New Zealand? | Is there overlap between #1 and #2?
86,Has the Subway restaurant franchise had any connections with child abusers?,True,yes,Was Jared Fogle a spokesman for Subway? | Is Jared Fogle a sexual abuser of children? | Are #1 and #2 the same?
87,Would the high school class of 2010 have lived through the Presidency of Richard Nixon?,False,no,When was Richard Nixon president of the US until? | What year range would the high school class of 2010 be born in? | Is #1 in #2?
88,Could ten gallons of seawater crush a six year old?,True,yes,What is the average weight of a six year old? | What is the weight of a gallon of seawater? | Is ten times #2 more than #1?
89,Would a Deacon be likely to be a fan of the podcast 'God Awful Movies'?,False,no,What is the main topic of God Awful Movies? | What is God Awful Movies position on #1? | What are deacon's positions on #1? | Are #2 and #3 the same or similar?
90,Could a giant squid fit aboard the deck of the titanic?,True,yes,What is the length of a giant squid? | What was the length of a deck on the Titanic? | Is #1 less than #2?
91,Do more anchovy live in colder temperature waters than warmer?,False,no,Which oceans do Anchovy live in? | Which seas do Anchovy live in? | Are #1 and #2 cold waters?
92,Is Antarctica a good location for Groundhog Day?,False,no,What does a groundhog have to see in order for a prediction to be made on Groundhog Day? | Which particular light source is responsible for casting #1? | How is the #2 pattern like on Antarctica? | Is #3 is irregular?
93,Can the Powerpuff Girls form a complete tag team wrestling match?,False,no,What is the minimum number of people that can participate in a tag team match in professional wrestling? | The Powerpuff girls are how many in number? | Is #2 greater than or equal to #1?
94,Will someone die without white blood cells?,True,yes,What function do white blood cells serve in the body? | Can a human live without #1?
95,Does rock star Keith Richards play a captain of a boat in a movie?,True,yes,What role did Keith Richards play in the Pirates of the Caribbean movies? | Can #1 be considered a captain of a boat?
96,Is 3D printing able to make adenovirus?,False,no,What is the size of a 3D printer's standard nozzle output? | What size range do adenoviruses fall in? | Is #2 greater than or equal to #1?
97,Would an eleventh-grader be eligible for Medicare?,False,no,What ages are people in eleventh grade? | What ages are most medicare recipients? | Is there an overlap between #1 and #2?
98,Is there a full Neptunian orbit between the first two burials of women in the Panthéon?,False,no,In what year was the first woman buried in the Panthéon? | In what year was the second woman buried in the Panthéon? | How many years are between #1 and #2? | How many years does it take for Neptune to orbit the Sun? | Is #4 less than or equal to #3?
99,Will Oasis cruise boat traverse the Lincoln Tunnel?,False,no,What is the maximum height clearance of the Lincoln Tunnel? | How tall is the Oasis cruise ship? | Is #1 greater than or equal to #2?
100,Could Oscar Wilde have operated a motor vehicle?,True,yes,When were cars first used? | When did Oscar Wilde pass away? | Did #2 happen after #1?
